iter	Passed	Remaining
561	7241	5643
562	7252	5629
563	7265	5616
564	7275	5601
565	7288	5588
566	7299	5574
567	7309	5559
568	7321	5545
569	7333	5532
570	7344	5517
571	7355	5503
572	7367	5489
573	7376	5474
574	7389	5461
575	7400	5447
576	7410	5432
577	7421	5418
578	7432	5404
579	7442	5389
580	7454	5375
581	7465	5361
582	7479	5349
583	7491	5336
584	7502	5322
585	7515	5309
586	7524	5294
587	7536	5280
588	7548	5266
589	7557	5251
590	7569	5238
591	7581	5225
592	7593	5211
593	7603	5196
594	7614	5183
595	7625	5169
596	7636	5154
597	7647	5141
598	7656	5125
599	7667	5111
600	7679	5098
601	7688	5083
602	7701	5070
603	7714	5057
604	7725	5044
605	7735	5029
606	7746	5015
607	7757	5001
608	7768	4987
609	7779	4973
610	7792	4961
611	7803	4947
612	7815	4933
613	7826	4920
614	7836	4905
615	7847	4891
616	7865	4882
617	7883	4872
618	7901	4863
619	7918	4852
620	7932	4841
621	7947	4829
622	7961	4817
623	7975	4805
624	7984	4790
625	7996	4777
626	8009	4764
627	8020	4750
628	8030	4736
629	8041	4722
630	8053	4709
631	8063	4695
632	8075	4681
633	8089	4669
634	8104	4658
635	8122	4648
636	8132	4634
637	8143	4620
638	8155	4607
639	8166	4593
640	8177	4579
641	8188	4566
642	8197	4551
643	8208	4537
644	8221	4525
645	8231	4510
646	8244	4497
647	8256	4485
648	8269	4472
649	8279	4458
650	8291	4444
651	8302	4431
652	8312	4417
653	8325	4404
654	8337	4391
655	8348	4378
656	8359	4364
657	8370	4350
658	8382	4337
659	8393	4323
660	8405	4310
661	8416	4297
662	8426	4283
663	8438	4269
664	8449	4256
665	8460	4242
666	8474	4231
667	8486	4218
668	8498	4204
669	8508	4190
670	8521	4178
671	8533	4165
672	8543	4151
673	8554	4137
674	8566	4124
675	8576	4110
676	8587	4097
677	8598	4083
678	8608	4069
679	8621	4057
680	8633	4044
681	8644	4030
682	8657	4017
683	8668	4004
684	8679	3991
685	8689	3977
686	8700	3964
687	8712	3951
688	8723	3937
689	8735	3924
690	8747	3911
691	8757	3897
692	8768	3884
693	8779	3871
694	8791	3857
695	8811	3848
696	8827	3837
697	8838	3824
698	8853	3812
699	8867	3800
700	8881	3788
701	8894	3775
702	8903	3761
703	8916	3748
704	8928	3736
